====iter_100: fit=9.1382, reg=1.2816, thom=0.5081, thomf=0.5042, acc=0.0078
====iter_200: fit=8.9957, reg=1.1591, thom=0.5075, thomf=0.5018, acc=0.0234
====iter_300: fit=8.9957, reg=1.0483, thom=0.5069, thomf=0.5005, acc=0.0234
====iter_400: fit=8.9957, reg=0.9481, thom=0.5063, thomf=0.4997, acc=0.0234
====iter_500: fit=9.2094, reg=0.8575, thom=0.5057, thomf=0.4991, acc=0.0000
====iter_600: fit=9.1382, reg=0.7755, thom=0.5051, thomf=0.4987, acc=0.0078
====iter_700: fit=9.1382, reg=0.7014, thom=0.5046, thomf=0.4983, acc=0.0078
====iter_800: fit=9.2094, reg=0.6343, thom=0.5040, thomf=0.4979, acc=0.0000
====iter_900: fit=9.1382, reg=0.5737, thom=0.5035, thomf=0.4976, acc=0.0078
====iter_1000: fit=9.1382, reg=0.5189, thom=0.5031, thomf=0.4973, acc=0.0078
====iter_1100: fit=9.1382, reg=0.4693, thom=0.5026, thomf=0.4971, acc=0.0078
====iter_1200: fit=9.1382, reg=0.4244, thom=0.5022, thomf=0.4969, acc=0.0078
====iter_1300: fit=9.0669, reg=0.3838, thom=0.5018, thomf=0.4967, acc=0.0156
====iter_1400: fit=9.1382, reg=0.3471, thom=0.5014, thomf=0.4965, acc=0.0078
====iter_1500: fit=9.0669, reg=0.3140, thom=0.5010, thomf=0.4963, acc=0.0156
====iter_1600: fit=9.1382, reg=0.2840, thom=0.5007, thomf=0.4962, acc=0.0078
====iter_1700: fit=9.2094, reg=0.2568, thom=0.5004, thomf=0.4960, acc=0.0000
====iter_1800: fit=9.1382, reg=0.2323, thom=0.5001, thomf=0.4959, acc=0.0078
====iter_1900: fit=8.9957, reg=0.2101, thom=0.4998, thomf=0.4958, acc=0.0234
====iter_2000: fit=9.1382, reg=0.1900, thom=0.4995, thomf=0.4957, acc=0.0078
====iter_2100: fit=9.0669, reg=0.1718, thom=0.4993, thomf=0.4956, acc=0.0156
====iter_2200: fit=9.2094, reg=0.1554, thom=0.4990, thomf=0.4955, acc=0.0000
====iter_2300: fit=9.2094, reg=0.1405, thom=0.4988, thomf=0.4954, acc=0.0000
====iter_2400: fit=9.1382, reg=0.1271, thom=0.4986, thomf=0.4954, acc=0.0078
====iter_2500: fit=9.1382, reg=0.1150, thom=0.4984, thomf=0.4953, acc=0.0078
====iter_2600: fit=4.6673, reg=0.4037, thom=0.6559, thomf=0.5020, acc=0.0156
====iter_2700: fit=4.5727, reg=0.3704, thom=0.6007, thomf=0.4976, acc=0.0312
====iter_2800: fit=4.5118, reg=0.3369, thom=0.5725, thomf=0.4999, acc=0.0078
====iter_2900: fit=4.4082, reg=0.3086, thom=0.5556, thomf=0.5064, acc=0.0234
====iter_3000: fit=4.2811, reg=0.2871, thom=0.5449, thomf=0.5100, acc=0.0234
====iter_3100: fit=4.0393, reg=0.2714, thom=0.5377, thomf=0.5115, acc=0.0703
====iter_3200: fit=3.9002, reg=0.2607, thom=0.5329, thomf=0.5137, acc=0.0547
====iter_3300: fit=3.7155, reg=0.2536, thom=0.5292, thomf=0.5140, acc=0.0938
====iter_3400: fit=3.6608, reg=0.2493, thom=0.5262, thomf=0.5136, acc=0.1562
====iter_3500: fit=3.4761, reg=0.2484, thom=0.5238, thomf=0.5130, acc=0.1953
====iter_3600: fit=3.4663, reg=0.2509, thom=0.5219, thomf=0.5135, acc=0.1484
====iter_3700: fit=3.1555, reg=0.2547, thom=0.5202, thomf=0.5127, acc=0.2578
====iter_3800: fit=3.2385, reg=0.2605, thom=0.5186, thomf=0.5129, acc=0.2188
====iter_3900: fit=2.9752, reg=0.2690, thom=0.5173, thomf=0.5124, acc=0.2656
====iter_4000: fit=2.7726, reg=0.2800, thom=0.5162, thomf=0.5117, acc=0.2578
====iter_4100: fit=3.1955, reg=0.2921, thom=0.5151, thomf=0.5116, acc=0.2109
====iter_4200: fit=3.3447, reg=0.3047, thom=0.5141, thomf=0.5115, acc=0.1641
====iter_4300: fit=2.7219, reg=0.3191, thom=0.5132, thomf=0.5108, acc=0.3125
====iter_4400: fit=2.8774, reg=0.3346, thom=0.5125, thomf=0.5104, acc=0.3125
====iter_4500: fit=2.3372, reg=0.3486, thom=0.5118, thomf=0.5106, acc=0.3984
====iter_4600: fit=2.7580, reg=0.3630, thom=0.5112, thomf=0.5101, acc=0.3281
====iter_4700: fit=2.2753, reg=0.3751, thom=0.5105, thomf=0.5100, acc=0.4453
====iter_4800: fit=2.5439, reg=0.3891, thom=0.5102, thomf=0.5092, acc=0.3672
====iter_4900: fit=2.2801, reg=0.4032, thom=0.5096, thomf=0.5093, acc=0.3906
====iter_5000: fit=2.2290, reg=0.4150, thom=0.5093, thomf=0.5094, acc=0.3984
====iter_5100: fit=2.3778, reg=0.4259, thom=0.5089, thomf=0.5090, acc=0.4141
====iter_5200: fit=2.4073, reg=0.4394, thom=0.5086, thomf=0.5092, acc=0.3516
====iter_5300: fit=2.8621, reg=0.4525, thom=0.5083, thomf=0.5087, acc=0.3047
====iter_5400: fit=2.4837, reg=0.4640, thom=0.5080, thomf=0.5087, acc=0.3594
====iter_5500: fit=2.1223, reg=0.4755, thom=0.5077, thomf=0.5080, acc=0.3828
====iter_5600: fit=2.2940, reg=0.4886, thom=0.5074, thomf=0.5079, acc=0.4141
====iter_5700: fit=2.0968, reg=0.4994, thom=0.5072, thomf=0.5079, acc=0.4375
====iter_5800: fit=2.3973, reg=0.5093, thom=0.5070, thomf=0.5078, acc=0.3672
====iter_5900: fit=1.9507, reg=0.5184, thom=0.5069, thomf=0.5077, acc=0.5547
====iter_6000: fit=2.2222, reg=0.5289, thom=0.5067, thomf=0.5076, acc=0.4141
====iter_6100: fit=1.9573, reg=0.5403, thom=0.5065, thomf=0.5075, acc=0.4688
====iter_6200: fit=2.4332, reg=0.5502, thom=0.5064, thomf=0.5076, acc=0.4531
====iter_6300: fit=2.2271, reg=0.5585, thom=0.5062, thomf=0.5070, acc=0.4531
====iter_6400: fit=2.1903, reg=0.5682, thom=0.5060, thomf=0.5069, acc=0.4453
====iter_6500: fit=2.0341, reg=0.5767, thom=0.5059, thomf=0.5071, acc=0.4531
====iter_6600: fit=2.4573, reg=0.5865, thom=0.5058, thomf=0.5069, acc=0.3594
====iter_6700: fit=1.8531, reg=0.5962, thom=0.5057, thomf=0.5066, acc=0.4922
====iter_6800: fit=2.0505, reg=0.6054, thom=0.5056, thomf=0.5065, acc=0.4922
====iter_6900: fit=2.2403, reg=0.6153, thom=0.5055, thomf=0.5066, acc=0.4062
====iter_7000: fit=2.3619, reg=0.6205, thom=0.5053, thomf=0.5069, acc=0.4297
====iter_7100: fit=1.9886, reg=0.6278, thom=0.5053, thomf=0.5064, acc=0.4531
====iter_7200: fit=1.7744, reg=0.6379, thom=0.5051, thomf=0.5064, acc=0.5312
====iter_7300: fit=1.9935, reg=0.6428, thom=0.5050, thomf=0.5065, acc=0.5156
====iter_7400: fit=1.9376, reg=0.6493, thom=0.5050, thomf=0.5066, acc=0.5078
====iter_7500: fit=1.8513, reg=0.6566, thom=0.5049, thomf=0.5063, acc=0.5078
====iter_7600: fit=2.2214, reg=0.6643, thom=0.5048, thomf=0.5062, acc=0.4141
====iter_7700: fit=1.9166, reg=0.6693, thom=0.5047, thomf=0.5064, acc=0.5000
====iter_7800: fit=1.9532, reg=0.6745, thom=0.5048, thomf=0.5066, acc=0.4609
====iter_7900: fit=1.8054, reg=0.6825, thom=0.5047, thomf=0.5063, acc=0.5000
====iter_8000: fit=1.8466, reg=0.6896, thom=0.5046, thomf=0.5061, acc=0.5000
====iter_8100: fit=1.7459, reg=0.6943, thom=0.5046, thomf=0.5063, acc=0.5391
====iter_8200: fit=1.7336, reg=0.6982, thom=0.5045, thomf=0.5063, acc=0.5391
====iter_8300: fit=1.8302, reg=0.7054, thom=0.5045, thomf=0.5060, acc=0.4922
====iter_8400: fit=1.9290, reg=0.7133, thom=0.5044, thomf=0.5060, acc=0.4922
====iter_8500: fit=2.2538, reg=0.7185, thom=0.5044, thomf=0.5060, acc=0.4453
====iter_8600: fit=1.7665, reg=0.7236, thom=0.5043, thomf=0.5059, acc=0.5078
====iter_8700: fit=1.8689, reg=0.7289, thom=0.5042, thomf=0.5058, acc=0.5234
====iter_8800: fit=1.7247, reg=0.7350, thom=0.5042, thomf=0.5057, acc=0.5000
====iter_8900: fit=1.9880, reg=0.7386, thom=0.5042, thomf=0.5059, acc=0.4922
====iter_9000: fit=1.6286, reg=0.7448, thom=0.5042, thomf=0.5055, acc=0.5156
====iter_9100: fit=1.8540, reg=0.7510, thom=0.5043, thomf=0.5055, acc=0.4609
====iter_9200: fit=1.7771, reg=0.7558, thom=0.5042, thomf=0.5057, acc=0.5312
====iter_9300: fit=1.9576, reg=0.7587, thom=0.5041, thomf=0.5058, acc=0.5312
====iter_9400: fit=1.7962, reg=0.7635, thom=0.5040, thomf=0.5057, acc=0.5469
====iter_9500: fit=1.6807, reg=0.7695, thom=0.5040, thomf=0.5055, acc=0.5703
====iter_9600: fit=1.4997, reg=0.7742, thom=0.5040, thomf=0.5056, acc=0.5625
====iter_9700: fit=1.6000, reg=0.7776, thom=0.5040, thomf=0.5055, acc=0.5938
====iter_9800: fit=1.9407, reg=0.7815, thom=0.5039, thomf=0.5054, acc=0.4766
====iter_9900: fit=1.5372, reg=0.7882, thom=0.5040, thomf=0.5055, acc=0.5625
====iter_10000: fit=1.9278, reg=0.7915, thom=0.5039, thomf=0.5054, acc=0.5234
====iter_10100: fit=1.7912, reg=0.7953, thom=0.5038, thomf=0.5057, acc=0.5625
====iter_10200: fit=1.8736, reg=0.7979, thom=0.5039, thomf=0.5056, acc=0.4766
====iter_10300: fit=2.0277, reg=0.8008, thom=0.5038, thomf=0.5051, acc=0.4688
====iter_10400: fit=1.9024, reg=0.8053, thom=0.5038, thomf=0.5051, acc=0.4766
====iter_10500: fit=1.7206, reg=0.8077, thom=0.5038, thomf=0.5053, acc=0.5469
====iter_10600: fit=1.9048, reg=0.8111, thom=0.5038, thomf=0.5053, acc=0.4531
====iter_10700: fit=1.8036, reg=0.8173, thom=0.5037, thomf=0.5054, acc=0.5078
====iter_10800: fit=1.7156, reg=0.8187, thom=0.5037, thomf=0.5052, acc=0.5312
====iter_10900: fit=1.9071, reg=0.8197, thom=0.5037, thomf=0.5056, acc=0.4922
====iter_11000: fit=1.4580, reg=0.8224, thom=0.5036, thomf=0.5053, acc=0.6406
====iter_11100: fit=1.9929, reg=0.8301, thom=0.5036, thomf=0.5051, acc=0.4609
====iter_11200: fit=2.0183, reg=0.8341, thom=0.5036, thomf=0.5052, acc=0.5078
