====iter_6500: fit=2.1238, reg=0.7554, thom=-6.9167, thomf=-6.9984, acc=0.5000
====iter_6600: fit=1.9280, reg=0.7607, thom=-6.9165, thomf=-6.9994, acc=0.4844
====iter_6700: fit=1.9321, reg=0.7692, thom=-6.9168, thomf=-6.9997, acc=0.4688
====iter_6800: fit=2.0899, reg=0.7764, thom=-6.9171, thomf=-7.0000, acc=0.4375
====iter_6900: fit=1.9005, reg=0.7852, thom=-6.9170, thomf=-6.9996, acc=0.5000
====iter_7000: fit=1.7728, reg=0.7877, thom=-6.9173, thomf=-6.9993, acc=0.5312
====iter_7100: fit=1.6728, reg=0.7944, thom=-6.9173, thomf=-6.9998, acc=0.5625
====iter_7200: fit=1.7208, reg=0.8003, thom=-6.9176, thomf=-7.0007, acc=0.5234
====iter_7300: fit=1.8115, reg=0.8062, thom=-6.9175, thomf=-7.0003, acc=0.5234
====iter_7400: fit=1.7925, reg=0.8092, thom=-6.9178, thomf=-7.0002, acc=0.5234
====iter_7500: fit=1.7169, reg=0.8153, thom=-6.9180, thomf=-7.0003, acc=0.5469
====iter_7600: fit=1.7401, reg=0.8234, thom=-6.9179, thomf=-7.0005, acc=0.5781
====iter_7700: fit=1.6211, reg=0.8295, thom=-6.9179, thomf=-6.9987, acc=0.6328
====iter_7800: fit=1.6231, reg=0.8332, thom=-6.9184, thomf=-6.9999, acc=0.5859
====iter_7900: fit=1.6678, reg=0.8407, thom=-6.9184, thomf=-7.0007, acc=0.5703
====iter_8000: fit=1.5160, reg=0.8455, thom=-6.9184, thomf=-7.0005, acc=0.6172
====iter_8100: fit=1.7361, reg=0.8484, thom=-6.9186, thomf=-7.0002, acc=0.5234
====iter_8200: fit=1.4514, reg=0.8537, thom=-6.9186, thomf=-7.0004, acc=0.6016
====iter_8300: fit=1.7461, reg=0.8613, thom=-6.9187, thomf=-7.0010, acc=0.5312
====iter_8400: fit=1.6493, reg=0.8669, thom=-6.9187, thomf=-7.0010, acc=0.5859
====iter_8500: fit=1.7126, reg=0.8698, thom=-6.9190, thomf=-7.0008, acc=0.5312
====iter_8600: fit=1.6178, reg=0.8719, thom=-6.9192, thomf=-7.0002, acc=0.5547
====iter_8700: fit=1.6824, reg=0.8755, thom=-6.9191, thomf=-7.0020, acc=0.5469
====iter_8800: fit=1.6980, reg=0.8812, thom=-6.9190, thomf=-7.0021, acc=0.5156
====iter_8900: fit=1.6488, reg=0.8842, thom=-6.9192, thomf=-7.0011, acc=0.5547
====iter_9000: fit=1.6065, reg=0.8874, thom=-6.9194, thomf=-7.0024, acc=0.5625
====iter_9100: fit=1.7485, reg=0.8919, thom=-6.9195, thomf=-7.0014, acc=0.5781
====iter_9200: fit=1.6774, reg=0.8977, thom=-6.9192, thomf=-7.0017, acc=0.5781
====iter_9300: fit=1.7381, reg=0.8971, thom=-6.9197, thomf=-7.0011, acc=0.5234
====iter_9400: fit=1.7937, reg=0.8993, thom=-6.9197, thomf=-7.0011, acc=0.5078
====iter_9500: fit=1.5146, reg=0.9061, thom=-6.9197, thomf=-7.0009, acc=0.5938
====iter_9600: fit=1.5088, reg=0.9099, thom=-6.9198, thomf=-7.0013, acc=0.5547
====iter_9700: fit=1.7301, reg=0.9132, thom=-6.9197, thomf=-7.0010, acc=0.5547
====iter_9800: fit=1.4904, reg=0.9150, thom=-6.9200, thomf=-7.0013, acc=0.6094
====iter_9900: fit=1.7686, reg=0.9197, thom=-6.9199, thomf=-7.0021, acc=0.5391
====iter_10000: fit=1.7187, reg=0.9225, thom=-6.9199, thomf=-7.0017, acc=0.5547
====iter_10100: fit=1.7168, reg=0.9238, thom=-6.9202, thomf=-7.0011, acc=0.5156
====iter_10200: fit=1.5374, reg=0.9270, thom=-6.9202, thomf=-7.0017, acc=0.6094
