====iter_100: fit=9.0669, reg=1.2438, thom=0.2010, thomf=0.2000, acc=0.0156
====iter_200: fit=9.1382, reg=1.1249, thom=0.2010, thomf=0.1998, acc=0.0078
====iter_300: fit=9.0669, reg=1.0174, thom=0.2010, thomf=0.1996, acc=0.0156
====iter_400: fit=9.1382, reg=0.9201, thom=0.2009, thomf=0.1995, acc=0.0078
====iter_500: fit=9.2094, reg=0.8322, thom=0.2009, thomf=0.1993, acc=0.0000
====iter_600: fit=9.2094, reg=0.7526, thom=0.2008, thomf=0.1992, acc=0.0000
====iter_700: fit=9.2094, reg=0.6807, thom=0.2008, thomf=0.1992, acc=0.0000
====iter_800: fit=9.1382, reg=0.6156, thom=0.2007, thomf=0.1991, acc=0.0078
====iter_900: fit=9.2094, reg=0.5568, thom=0.2007, thomf=0.1991, acc=0.0000
====iter_1000: fit=8.9957, reg=0.5035, thom=0.2006, thomf=0.1991, acc=0.0234
====iter_1100: fit=9.1382, reg=0.4554, thom=0.2006, thomf=0.1991, acc=0.0078
====iter_1200: fit=9.1382, reg=0.4119, thom=0.2005, thomf=0.1991, acc=0.0078
====iter_1300: fit=9.2094, reg=0.3725, thom=0.2005, thomf=0.1990, acc=0.0000
====iter_1400: fit=9.1382, reg=0.3369, thom=0.2004, thomf=0.1990, acc=0.0078
====iter_1500: fit=9.0669, reg=0.3047, thom=0.2004, thomf=0.1990, acc=0.0156
====iter_1600: fit=9.1382, reg=0.2756, thom=0.2003, thomf=0.1990, acc=0.0078
====iter_1700: fit=9.1382, reg=0.2492, thom=0.2002, thomf=0.1990, acc=0.0078
====iter_1800: fit=9.2094, reg=0.2254, thom=0.2002, thomf=0.1990, acc=0.0000
====iter_1900: fit=9.1382, reg=0.2038, thom=0.2001, thomf=0.1990, acc=0.0078
====iter_2000: fit=9.1371, reg=0.1843, thom=0.2001, thomf=0.1990, acc=0.0078
====iter_2100: fit=4.6172, reg=0.2638, thom=0.2085, thomf=0.2000, acc=0.0078
====iter_2200: fit=4.5915, reg=0.2389, thom=0.2079, thomf=0.1996, acc=0.0000
====iter_2300: fit=4.6061, reg=0.2168, thom=0.2072, thomf=0.1996, acc=0.0156
====iter_2400: fit=4.4758, reg=0.1976, thom=0.2066, thomf=0.2004, acc=0.0234
====iter_2500: fit=4.4171, reg=0.1810, thom=0.2060, thomf=0.2019, acc=0.0391
====iter_2600: fit=4.3567, reg=0.1693, thom=0.2055, thomf=0.2036, acc=0.0312
====iter_2700: fit=4.1596, reg=0.1601, thom=0.2050, thomf=0.2049, acc=0.0781
====iter_2800: fit=3.9728, reg=0.1545, thom=0.2048, thomf=0.2057, acc=0.0781
====iter_2900: fit=3.9542, reg=0.1499, thom=0.2046, thomf=0.2055, acc=0.1016
====iter_3000: fit=3.6517, reg=0.1485, thom=0.2045, thomf=0.2051, acc=0.1406
====iter_3100: fit=3.7538, reg=0.1499, thom=0.2047, thomf=0.2049, acc=0.1016
====iter_3200: fit=3.8844, reg=0.1530, thom=0.2048, thomf=0.2048, acc=0.1172
====iter_3300: fit=3.4055, reg=0.1574, thom=0.2047, thomf=0.2045, acc=0.1797
====iter_3400: fit=3.5856, reg=0.1633, thom=0.2047, thomf=0.2042, acc=0.1562
====iter_3500: fit=3.5054, reg=0.1702, thom=0.2046, thomf=0.2040, acc=0.1328
====iter_3600: fit=3.4701, reg=0.1795, thom=0.2047, thomf=0.2036, acc=0.1641
====iter_3700: fit=3.2049, reg=0.1905, thom=0.2045, thomf=0.2035, acc=0.1953
====iter_3800: fit=3.3740, reg=0.2010, thom=0.2045, thomf=0.2033, acc=0.1875
====iter_3900: fit=3.1274, reg=0.2128, thom=0.2044, thomf=0.2033, acc=0.2422
====iter_4000: fit=3.2561, reg=0.2272, thom=0.2043, thomf=0.2029, acc=0.2266
====iter_4100: fit=2.8818, reg=0.2431, thom=0.2042, thomf=0.2029, acc=0.2812
====iter_4200: fit=2.8311, reg=0.2600, thom=0.2040, thomf=0.2029, acc=0.2891
====iter_4300: fit=2.9585, reg=0.2762, thom=0.2038, thomf=0.2026, acc=0.2891
====iter_4400: fit=2.6936, reg=0.2950, thom=0.2038, thomf=0.2025, acc=0.3359
====iter_4500: fit=2.8786, reg=0.3126, thom=0.2037, thomf=0.2024, acc=0.3281
====iter_4600: fit=2.6573, reg=0.3293, thom=0.2036, thomf=0.2024, acc=0.2734
====iter_4700: fit=2.5707, reg=0.3450, thom=0.2035, thomf=0.2022, acc=0.3203
====iter_4800: fit=2.5010, reg=0.3622, thom=0.2035, thomf=0.2021, acc=0.3672
====iter_4900: fit=2.5294, reg=0.3803, thom=0.2033, thomf=0.2019, acc=0.3594
====iter_5000: fit=2.3063, reg=0.3938, thom=0.2032, thomf=0.2020, acc=0.4062
====iter_5100: fit=2.3958, reg=0.4099, thom=0.2031, thomf=0.2019, acc=0.3906
====iter_5200: fit=2.1659, reg=0.4257, thom=0.2030, thomf=0.2019, acc=0.4297
====iter_5300: fit=1.9246, reg=0.4403, thom=0.2030, thomf=0.2018, acc=0.5156
====iter_5400: fit=2.5510, reg=0.4523, thom=0.2029, thomf=0.2019, acc=0.3672
====iter_5500: fit=2.2542, reg=0.4664, thom=0.2028, thomf=0.2017, acc=0.3984
====iter_5600: fit=2.0536, reg=0.4802, thom=0.2028, thomf=0.2017, acc=0.4453
====iter_5700: fit=2.2758, reg=0.4928, thom=0.2027, thomf=0.2017, acc=0.3906
====iter_5800: fit=2.2593, reg=0.5038, thom=0.2026, thomf=0.2017, acc=0.4062
====iter_5900: fit=2.0632, reg=0.5153, thom=0.2025, thomf=0.2015, acc=0.4297
====iter_6000: fit=2.5207, reg=0.5287, thom=0.2025, thomf=0.2014, acc=0.3750
====iter_6100: fit=2.1765, reg=0.5399, thom=0.2024, thomf=0.2015, acc=0.4219
====iter_6200: fit=2.0788, reg=0.5495, thom=0.2024, thomf=0.2016, acc=0.3906
====iter_6300: fit=2.1059, reg=0.5606, thom=0.2024, thomf=0.2015, acc=0.3906
====iter_6400: fit=2.2772, reg=0.5713, thom=0.2023, thomf=0.2014, acc=0.3828
====iter_6500: fit=1.9525, reg=0.5804, thom=0.2023, thomf=0.2014, acc=0.4766
====iter_6600: fit=2.3027, reg=0.5869, thom=0.2022, thomf=0.2014, acc=0.4219
====iter_6700: fit=1.8987, reg=0.5961, thom=0.2022, thomf=0.2014, acc=0.4844
====iter_6800: fit=1.7491, reg=0.6064, thom=0.2021, thomf=0.2014, acc=0.5391
====iter_6900: fit=1.7865, reg=0.6139, thom=0.2021, thomf=0.2013, acc=0.5469
====iter_7000: fit=1.9474, reg=0.6205, thom=0.2021, thomf=0.2013, acc=0.5156
====iter_7100: fit=1.8338, reg=0.6309, thom=0.2020, thomf=0.2012, acc=0.5000
====iter_7200: fit=1.7654, reg=0.6377, thom=0.2019, thomf=0.2013, acc=0.5312
====iter_7300: fit=2.0291, reg=0.6449, thom=0.2019, thomf=0.2012, acc=0.4609
====iter_7400: fit=1.9166, reg=0.6497, thom=0.2019, thomf=0.2012, acc=0.4688
====iter_7500: fit=1.7938, reg=0.6574, thom=0.2018, thomf=0.2011, acc=0.5547
====iter_7600: fit=1.8686, reg=0.6661, thom=0.2019, thomf=0.2011, acc=0.4766
====iter_7700: fit=1.7933, reg=0.6732, thom=0.2018, thomf=0.2012, acc=0.4844
====iter_7800: fit=1.6879, reg=0.6790, thom=0.2019, thomf=0.2012, acc=0.5078
====iter_7900: fit=1.8186, reg=0.6852, thom=0.2018, thomf=0.2012, acc=0.5156
====iter_8000: fit=2.0362, reg=0.6930, thom=0.2018, thomf=0.2012, acc=0.4766
====iter_8100: fit=1.7965, reg=0.6999, thom=0.2018, thomf=0.2010, acc=0.5078
====iter_8200: fit=1.8416, reg=0.7046, thom=0.2017, thomf=0.2011, acc=0.5469
====iter_8300: fit=1.9553, reg=0.7107, thom=0.2017, thomf=0.2010, acc=0.5156
====iter_8400: fit=1.9510, reg=0.7168, thom=0.2017, thomf=0.2010, acc=0.4922
====iter_8500: fit=1.6722, reg=0.7201, thom=0.2017, thomf=0.2010, acc=0.5781
====iter_8600: fit=1.9130, reg=0.7256, thom=0.2016, thomf=0.2010, acc=0.5000
====iter_8700: fit=1.4684, reg=0.7324, thom=0.2016, thomf=0.2010, acc=0.5547
====iter_8800: fit=1.6918, reg=0.7395, thom=0.2016, thomf=0.2010, acc=0.5547
====iter_8900: fit=1.6428, reg=0.7441, thom=0.2016, thomf=0.2010, acc=0.6094
====iter_9000: fit=1.6960, reg=0.7458, thom=0.2016, thomf=0.2010, acc=0.5156
====iter_9100: fit=1.9155, reg=0.7506, thom=0.2016, thomf=0.2010, acc=0.5078
====iter_9200: fit=1.9209, reg=0.7568, thom=0.2015, thomf=0.2010, acc=0.4922
====iter_9300: fit=1.6890, reg=0.7603, thom=0.2015, thomf=0.2010, acc=0.5078
====iter_9400: fit=1.5994, reg=0.7652, thom=0.2015, thomf=0.2010, acc=0.5703
====iter_9500: fit=1.9328, reg=0.7737, thom=0.2015, thomf=0.2009, acc=0.5312
====iter_9600: fit=1.8509, reg=0.7776, thom=0.2015, thomf=0.2009, acc=0.5156
====iter_9700: fit=1.7756, reg=0.7807, thom=0.2015, thomf=0.2009, acc=0.5625
====iter_9800: fit=1.8094, reg=0.7872, thom=0.2015, thomf=0.2009, acc=0.5547
====iter_9900: fit=1.6904, reg=0.7912, thom=0.2014, thomf=0.2009, acc=0.5625
====iter_10000: fit=1.8076, reg=0.7931, thom=0.2014, thomf=0.2009, acc=0.5469
====iter_10100: fit=1.6099, reg=0.7962, thom=0.2015, thomf=0.2009, acc=0.5703
====iter_10200: fit=1.8509, reg=0.8000, thom=0.2014, thomf=0.2008, acc=0.5234
====iter_10300: fit=1.7611, reg=0.8058, thom=0.2014, thomf=0.2008, acc=0.5703
====iter_10400: fit=1.7527, reg=0.8089, thom=0.2014, thomf=0.2009, acc=0.5078
====iter_10500: fit=1.8355, reg=0.8108, thom=0.2014, thomf=0.2009, acc=0.4766
====iter_10600: fit=1.6431, reg=0.8142, thom=0.2014, thomf=0.2008, acc=0.5625
====iter_10700: fit=1.8885, reg=0.8170, thom=0.2014, thomf=0.2008, acc=0.5391
====iter_10800: fit=1.7361, reg=0.8201, thom=0.2014, thomf=0.2009, acc=0.5547
====iter_10900: fit=2.1361, reg=0.8224, thom=0.2014, thomf=0.2009, acc=0.4219
====iter_11000: fit=1.9328, reg=0.8247, thom=0.2014, thomf=0.2008, acc=0.5000
====iter_11100: fit=1.9662, reg=0.8292, thom=0.2014, thomf=0.2009, acc=0.4844
====iter_11200: fit=1.6223, reg=0.8336, thom=0.2014, thomf=0.2009, acc=0.5625
====iter_11300: fit=1.8621, reg=0.8324, thom=0.2014, thomf=0.2009, acc=0.5312
====iter_11400: fit=1.4938, reg=0.8367, thom=0.2014, thomf=0.2008, acc=0.5859
====iter_11500: fit=1.5135, reg=0.8415, thom=0.2014, thomf=0.2008, acc=0.5781
====iter_11600: fit=1.6345, reg=0.8459, thom=0.2014, thomf=0.2009, acc=0.6016
====iter_11700: fit=1.7222, reg=0.8479, thom=0.2014, thomf=0.2009, acc=0.5078
====iter_11800: fit=1.6084, reg=0.8534, thom=0.2013, thomf=0.2008, acc=0.5703
====iter_11900: fit=1.7704, reg=0.8550, thom=0.2013, thomf=0.2008, acc=0.5156
====iter_12000: fit=1.6488, reg=0.8558, thom=0.2013, thomf=0.2008, acc=0.5625
====iter_12100: fit=1.5587, reg=0.8549, thom=0.2013, thomf=0.2008, acc=0.5625
====iter_12200: fit=1.6962, reg=0.8602, thom=0.2013, thomf=0.2008, acc=0.5156
====iter_12300: fit=1.8009, reg=0.8638, thom=0.2013, thomf=0.2008, acc=0.5312
====iter_12400: fit=1.5819, reg=0.8675, thom=0.2013, thomf=0.2008, acc=0.5781
====iter_12500: fit=1.7333, reg=0.8695, thom=0.2013, thomf=0.2008, acc=0.5781
====iter_12600: fit=1.6347, reg=0.8744, thom=0.2013, thomf=0.2008, acc=0.5469
====iter_12700: fit=1.8542, reg=0.8774, thom=0.2013, thomf=0.2008, acc=0.4766
====iter_12800: fit=1.4669, reg=0.8801, thom=0.2013, thomf=0.2008, acc=0.6172
====iter_12900: fit=1.6606, reg=0.8796, thom=0.2012, thomf=0.2008, acc=0.5000
====iter_13000: fit=1.5951, reg=0.8823, thom=0.2012, thomf=0.2008, acc=0.5391
====iter_13100: fit=1.5483, reg=0.8861, thom=0.2012, thomf=0.2008, acc=0.5625
====iter_13200: fit=1.4631, reg=0.8889, thom=0.2012, thomf=0.2008, acc=0.6328
====iter_13300: fit=1.4679, reg=0.8924, thom=0.2012, thomf=0.2008, acc=0.5938
====iter_13400: fit=1.7231, reg=0.8955, thom=0.2012, thomf=0.2008, acc=0.5312
====iter_13500: fit=1.8063, reg=0.8963, thom=0.2012, thomf=0.2008, acc=0.5312
====iter_13600: fit=1.6608, reg=0.8961, thom=0.2012, thomf=0.2008, acc=0.5625
====iter_13700: fit=1.5923, reg=0.8962, thom=0.2012, thomf=0.2007, acc=0.5781
====iter_13800: fit=1.6472, reg=0.8991, thom=0.2012, thomf=0.2007, acc=0.5625
====iter_13900: fit=1.5318, reg=0.9007, thom=0.2012, thomf=0.2007, acc=0.5625
