====iter_10400: fit=2.1125, reg=0.6560, acc=0.4297
====iter_10500: fit=2.1083, reg=0.6576, acc=0.4609
====iter_10600: fit=1.5901, reg=0.6632, acc=0.6094
====iter_10700: fit=1.9843, reg=0.6660, acc=0.4453
====iter_10800: fit=1.9411, reg=0.6703, acc=0.4766
====iter_10900: fit=1.8972, reg=0.6726, acc=0.4375
====iter_11000: fit=2.1475, reg=0.6782, acc=0.4531
====iter_11100: fit=1.8952, reg=0.6834, acc=0.4688
====iter_11200: fit=1.7927, reg=0.6873, acc=0.5391
====iter_11300: fit=1.8260, reg=0.6884, acc=0.4766
====iter_11400: fit=2.0496, reg=0.6924, acc=0.4375
====iter_11500: fit=1.9847, reg=0.6970, acc=0.4531
====iter_11600: fit=1.8306, reg=0.6983, acc=0.4844
====iter_11700: fit=2.0134, reg=0.7008, acc=0.4375
====iter_11800: fit=1.7888, reg=0.7032, acc=0.5391
====iter_11900: fit=1.6132, reg=0.7091, acc=0.5547
====iter_12000: fit=1.8944, reg=0.7095, acc=0.4922
====iter_12100: fit=2.1398, reg=0.7094, acc=0.4453
====iter_12200: fit=1.9887, reg=0.7138, acc=0.4297
====iter_12300: fit=1.9921, reg=0.7168, acc=0.4609
====iter_12400: fit=1.9151, reg=0.7187, acc=0.4766
====iter_12500: fit=1.7990, reg=0.7201, acc=0.5312
====iter_12600: fit=1.9754, reg=0.7256, acc=0.4766
====iter_12700: fit=2.0002, reg=0.7300, acc=0.4453
====iter_12800: fit=1.8863, reg=0.7330, acc=0.5312
====iter_12900: fit=1.6087, reg=0.7341, acc=0.5938
====iter_13000: fit=1.8757, reg=0.7369, acc=0.4531
====iter_13100: fit=1.9151, reg=0.7389, acc=0.4844
====iter_13200: fit=1.8760, reg=0.7406, acc=0.4844
====iter_13300: fit=1.8850, reg=0.7426, acc=0.4844
====iter_13400: fit=1.6779, reg=0.7474, acc=0.5859
====iter_13500: fit=1.9483, reg=0.7502, acc=0.4375
====iter_13600: fit=1.8291, reg=0.7518, acc=0.5000
====iter_13700: fit=1.8581, reg=0.7560, acc=0.4922
====iter_13800: fit=2.1467, reg=0.7595, acc=0.4375
====iter_13900: fit=1.8634, reg=0.7599, acc=0.5234
====iter_14000: fit=1.8494, reg=0.7609, acc=0.5000
====iter_14100: fit=1.7626, reg=0.7630, acc=0.4453
====iter_14200: fit=1.7194, reg=0.7670, acc=0.5312
====iter_14300: fit=1.9192, reg=0.7687, acc=0.5000
====iter_14400: fit=1.7873, reg=0.7717, acc=0.5000
====iter_14500: fit=1.7228, reg=0.7705, acc=0.5703
====iter_14600: fit=2.0931, reg=0.7721, acc=0.5000
====iter_14700: fit=1.9088, reg=0.7729, acc=0.4688
====iter_14800: fit=1.6951, reg=0.7714, acc=0.5391
====iter_14900: fit=1.7517, reg=0.7757, acc=0.5391
====iter_15000: fit=1.6877, reg=0.7785, acc=0.5156
====iter_15100: fit=1.7711, reg=0.7792, acc=0.5391
====iter_15200: fit=1.7996, reg=0.7799, acc=0.5078
====iter_15300: fit=1.9032, reg=0.7827, acc=0.5078
====iter_15400: fit=1.5486, reg=0.7868, acc=0.5859
====iter_15500: fit=1.8370, reg=0.7872, acc=0.5469
====iter_15600: fit=1.5976, reg=0.7889, acc=0.5469
====iter_15700: fit=1.8673, reg=0.7917, acc=0.5312
====iter_15800: fit=1.7674, reg=0.7917, acc=0.5000
====iter_15900: fit=1.7555, reg=0.7926, acc=0.5859
====iter_16000: fit=1.4568, reg=0.7939, acc=0.5938
====iter_16100: fit=1.7185, reg=0.7973, acc=0.4688
====iter_16200: fit=1.7832, reg=0.7986, acc=0.5156
====iter_16300: fit=1.5767, reg=0.7982, acc=0.5625
====iter_16400: fit=1.8931, reg=0.7981, acc=0.4766
====iter_16500: fit=1.5795, reg=0.8022, acc=0.5781
====iter_16600: fit=1.8950, reg=0.8046, acc=0.4688
====iter_16700: fit=1.5627, reg=0.8044, acc=0.5391
====iter_16800: fit=1.8337, reg=0.8037, acc=0.4766
====iter_16900: fit=1.8132, reg=0.8061, acc=0.4922
====iter_17000: fit=1.9137, reg=0.8067, acc=0.5234
====iter_17100: fit=1.5637, reg=0.8061, acc=0.5625
====iter_17200: fit=1.8898, reg=0.8059, acc=0.5000
====iter_17300: fit=1.7850, reg=0.8097, acc=0.5469
====iter_17400: fit=1.6934, reg=0.8130, acc=0.5234
====iter_17500: fit=1.7016, reg=0.8141, acc=0.5234
====iter_17600: fit=1.6928, reg=0.8160, acc=0.5156
====iter_17700: fit=1.7833, reg=0.8203, acc=0.5391
====iter_17800: fit=1.9570, reg=0.8216, acc=0.4453
====iter_17900: fit=1.8970, reg=0.8220, acc=0.4766
====iter_18000: fit=1.5510, reg=0.8235, acc=0.5859
====iter_18100: fit=1.6174, reg=0.8262, acc=0.5312
====iter_18200: fit=1.8095, reg=0.8266, acc=0.5156
====iter_18300: fit=1.7383, reg=0.8273, acc=0.5391
====iter_18400: fit=1.6639, reg=0.8298, acc=0.5000
====iter_18500: fit=1.5814, reg=0.8320, acc=0.5547
====iter_18600: fit=1.9572, reg=0.8347, acc=0.5234
====iter_18700: fit=1.6851, reg=0.8361, acc=0.5312
====iter_18800: fit=1.6834, reg=0.8392, acc=0.5703
====iter_18900: fit=1.8905, reg=0.8414, acc=0.4297
====iter_19000: fit=1.9967, reg=0.8412, acc=0.5000
====iter_19100: fit=1.9420, reg=0.8386, acc=0.4922
====iter_19200: fit=2.0573, reg=0.8394, acc=0.4688
====iter_19300: fit=2.0119, reg=0.8422, acc=0.5156
====iter_19400: fit=1.5203, reg=0.8431, acc=0.5781
====iter_19500: fit=1.7151, reg=0.8450, acc=0.5625
====iter_19600: fit=1.5939, reg=0.8457, acc=0.5859
====iter_19700: fit=1.7359, reg=0.8465, acc=0.4922
====iter_19800: fit=1.7446, reg=0.8442, acc=0.5469
====iter_19900: fit=1.4215, reg=0.8451, acc=0.5938
====iter_20000: fit=1.4713, reg=0.8488, acc=0.6328
====iter_20100: fit=1.0781, reg=0.8426, acc=0.6719
====iter_20200: fit=1.0950, reg=0.8350, acc=0.7188
====iter_20300: fit=1.1621, reg=0.8278, acc=0.6562
====iter_20400: fit=0.9702, reg=0.8210, acc=0.7500
====iter_20500: fit=0.9429, reg=0.8139, acc=0.7344
====iter_20600: fit=1.2113, reg=0.8068, acc=0.6328
====iter_20700: fit=0.9547, reg=0.8001, acc=0.6875
====iter_20800: fit=1.1179, reg=0.7935, acc=0.6953
====iter_20900: fit=0.9584, reg=0.7868, acc=0.7422
====iter_21000: fit=0.9552, reg=0.7802, acc=0.7031
====iter_21100: fit=1.1303, reg=0.7739, acc=0.6562
====iter_21200: fit=0.9704, reg=0.7677, acc=0.7500
====iter_21300: fit=0.9322, reg=0.7614, acc=0.7500
====iter_21400: fit=0.7292, reg=0.7552, acc=0.8359
====iter_21500: fit=0.8460, reg=0.7494, acc=0.7578
====iter_21600: fit=0.8578, reg=0.7436, acc=0.7656
====iter_21700: fit=1.1524, reg=0.7376, acc=0.7031
====iter_21800: fit=0.9998, reg=0.7318, acc=0.6953
====iter_21900: fit=0.7663, reg=0.7264, acc=0.7969
====iter_22000: fit=0.9418, reg=0.7207, acc=0.7500
====iter_22100: fit=0.9390, reg=0.7155, acc=0.6875
====iter_22200: fit=0.9383, reg=0.7099, acc=0.7344
====iter_22300: fit=1.1339, reg=0.7048, acc=0.7031
====iter_22400: fit=0.7721, reg=0.6997, acc=0.8047
====iter_22500: fit=0.8404, reg=0.6945, acc=0.7812
====iter_22600: fit=0.8574, reg=0.6893, acc=0.7578
====iter_22700: fit=0.9823, reg=0.6845, acc=0.7422
====iter_22800: fit=0.7333, reg=0.6797, acc=0.7891
====iter_22900: fit=0.8219, reg=0.6749, acc=0.7578
====iter_23000: fit=0.9177, reg=0.6702, acc=0.7344
====iter_23100: fit=0.7379, reg=0.6659, acc=0.7969
====iter_23200: fit=0.8327, reg=0.6613, acc=0.7656
====iter_23300: fit=0.7927, reg=0.6567, acc=0.7578
====iter_23400: fit=0.8899, reg=0.6522, acc=0.7969
====iter_23500: fit=0.9346, reg=0.6480, acc=0.7188
====iter_23600: fit=0.7736, reg=0.6440, acc=0.7891
====iter_23700: fit=0.8005, reg=0.6399, acc=0.8125
====iter_23800: fit=0.7047, reg=0.6358, acc=0.7891
====iter_23900: fit=0.8519, reg=0.6321, acc=0.7578
====iter_24000: fit=0.8848, reg=0.6282, acc=0.7578
====iter_24100: fit=0.7266, reg=0.6243, acc=0.7969
====iter_24200: fit=0.6678, reg=0.6206, acc=0.8281
====iter_24300: fit=0.6779, reg=0.6171, acc=0.7812
====iter_24400: fit=0.8681, reg=0.6135, acc=0.7812
====iter_24500: fit=0.9787, reg=0.6100, acc=0.7031
====iter_24600: fit=0.7342, reg=0.6067, acc=0.7969
====iter_24700: fit=0.8602, reg=0.6034, acc=0.7422
====iter_24800: fit=0.6519, reg=0.6001, acc=0.8516
====iter_24900: fit=0.8958, reg=0.5970, acc=0.7500
====iter_25000: fit=0.6820, reg=0.5940, acc=0.8203
====iter_25100: fit=0.7909, reg=0.5910, acc=0.7812
====iter_25200: fit=0.6711, reg=0.5880, acc=0.8516
====iter_25300: fit=0.6340, reg=0.5851, acc=0.8359
====iter_25400: fit=0.5555, reg=0.5824, acc=0.8438
====iter_25500: fit=0.7206, reg=0.5796, acc=0.8125
====iter_25600: fit=0.6920, reg=0.5770, acc=0.8047
====iter_25700: fit=0.8409, reg=0.5742, acc=0.8047
====iter_25800: fit=0.8614, reg=0.5719, acc=0.7812
====iter_25900: fit=0.7187, reg=0.5694, acc=0.8125
====iter_26000: fit=0.7044, reg=0.5671, acc=0.8203
====iter_26100: fit=0.6871, reg=0.5647, acc=0.8359
====iter_26200: fit=0.7246, reg=0.5624, acc=0.7969
====iter_26300: fit=0.8850, reg=0.5601, acc=0.7656
====iter_26400: fit=0.5642, reg=0.5577, acc=0.8359
====iter_26500: fit=0.7825, reg=0.5555, acc=0.7656
====iter_26600: fit=0.4327, reg=0.5536, acc=0.9062
====iter_26700: fit=0.5717, reg=0.5517, acc=0.8359
====iter_26800: fit=0.6165, reg=0.5496, acc=0.8594
====iter_26900: fit=0.4854, reg=0.5476, acc=0.8594
====iter_27000: fit=0.8227, reg=0.5460, acc=0.8125
====iter_27100: fit=0.8252, reg=0.5441, acc=0.7812
====iter_27200: fit=0.6776, reg=0.5424, acc=0.8203
====iter_27300: fit=0.7555, reg=0.5406, acc=0.7812
====iter_27400: fit=0.5449, reg=0.5392, acc=0.8594
====iter_27500: fit=0.6248, reg=0.5375, acc=0.7891
====iter_27600: fit=0.6056, reg=0.5361, acc=0.7969
====iter_27700: fit=0.5678, reg=0.5346, acc=0.8594
====iter_27800: fit=0.6149, reg=0.5332, acc=0.8125
====iter_27900: fit=0.9492, reg=0.5318, acc=0.7422
====iter_28000: fit=0.6340, reg=0.5304, acc=0.8125
====iter_28100: fit=0.7481, reg=0.5289, acc=0.8281
====iter_28200: fit=0.6556, reg=0.5278, acc=0.7969
====iter_28300: fit=0.6950, reg=0.5266, acc=0.8594
====iter_28400: fit=0.6857, reg=0.5253, acc=0.8281
====iter_28500: fit=0.5677, reg=0.5241, acc=0.8359
====iter_28600: fit=0.7041, reg=0.5229, acc=0.8125
====iter_28700: fit=0.8519, reg=0.5219, acc=0.7812
====iter_28800: fit=0.6740, reg=0.5210, acc=0.7891
====iter_28900: fit=0.5960, reg=0.5200, acc=0.8516
====iter_29000: fit=0.6751, reg=0.5192, acc=0.8281
====iter_29100: fit=0.6783, reg=0.5182, acc=0.8125
====iter_29200: fit=0.6806, reg=0.5173, acc=0.7891
====iter_29300: fit=0.7170, reg=0.5166, acc=0.7656
====iter_29400: fit=0.7055, reg=0.5157, acc=0.7734
====iter_29500: fit=0.7472, reg=0.5148, acc=0.7656
====iter_29600: fit=0.6474, reg=0.5138, acc=0.7969
====iter_29700: fit=0.5827, reg=0.5131, acc=0.8594
====iter_29800: fit=0.8469, reg=0.5124, acc=0.7344
====iter_29900: fit=0.7793, reg=0.5117, acc=0.7500
====iter_30000: fit=0.6547, reg=0.5110, acc=0.8281
====iter_30100: fit=0.4733, reg=0.5107, acc=0.8672
====iter_30200: fit=0.4813, reg=0.5104, acc=0.8750
====iter_30300: fit=0.4650, reg=0.5101, acc=0.8984
====iter_30400: fit=0.5296, reg=0.5098, acc=0.8438
====iter_30500: fit=0.3780, reg=0.5095, acc=0.8984
====iter_30600: fit=0.4213, reg=0.5092, acc=0.8828
====iter_30700: fit=0.4590, reg=0.5089, acc=0.9062
====iter_30800: fit=0.4089, reg=0.5086, acc=0.9141
====iter_30900: fit=0.4853, reg=0.5083, acc=0.8750
====iter_31000: fit=0.4355, reg=0.5080, acc=0.9141
====iter_31100: fit=0.4234, reg=0.5077, acc=0.9141
====iter_31200: fit=0.4514, reg=0.5073, acc=0.8906
====iter_31300: fit=0.4297, reg=0.5070, acc=0.8906
====iter_31400: fit=0.3042, reg=0.5067, acc=0.9219
====iter_31500: fit=0.4860, reg=0.5064, acc=0.8516
====iter_31600: fit=0.4271, reg=0.5061, acc=0.9062
====iter_31700: fit=0.4493, reg=0.5058, acc=0.8672
====iter_31800: fit=0.5622, reg=0.5055, acc=0.8594
====iter_31900: fit=0.3385, reg=0.5051, acc=0.9062
====iter_32000: fit=0.4066, reg=0.5048, acc=0.8984
====iter_32100: fit=0.4266, reg=0.5045, acc=0.8984
====iter_32200: fit=0.4501, reg=0.5042, acc=0.8750
====iter_32300: fit=0.3488, reg=0.5039, acc=0.9062
====iter_32400: fit=0.4726, reg=0.5036, acc=0.8828
====iter_32500: fit=0.4264, reg=0.5032, acc=0.9141
