====iter_100: fit=9.0669, reg=1.2103, thom=2.0052, thomf=1.9913, acc=0.0156
====iter_200: fit=9.1382, reg=1.0946, thom=2.0049, thomf=1.9901, acc=0.0078
====iter_300: fit=9.0669, reg=0.9900, thom=2.0046, thomf=1.9898, acc=0.0156
====iter_400: fit=9.1382, reg=0.8953, thom=2.0043, thomf=1.9895, acc=0.0078
====iter_500: fit=9.1382, reg=0.8098, thom=2.0040, thomf=1.9893, acc=0.0078
====iter_600: fit=9.0669, reg=0.7323, thom=2.0036, thomf=1.9890, acc=0.0156
====iter_700: fit=9.2094, reg=0.6623, thom=2.0033, thomf=1.9888, acc=0.0000
====iter_800: fit=9.2094, reg=0.5990, thom=2.0029, thomf=1.9886, acc=0.0000
====iter_900: fit=8.8532, reg=0.5418, thom=2.0026, thomf=1.9884, acc=0.0391
====iter_1000: fit=9.0669, reg=0.4900, thom=2.0023, thomf=1.9882, acc=0.0156
====iter_1100: fit=9.2094, reg=0.4431, thom=2.0019, thomf=1.9880, acc=0.0000
====iter_1200: fit=9.0669, reg=0.4008, thom=2.0016, thomf=1.9878, acc=0.0156
====iter_1300: fit=9.2094, reg=0.3625, thom=2.0013, thomf=1.9877, acc=0.0000
====iter_1400: fit=9.2094, reg=0.3278, thom=2.0010, thomf=1.9875, acc=0.0000
====iter_1500: fit=9.1382, reg=0.2965, thom=2.0007, thomf=1.9874, acc=0.0078
====iter_1600: fit=9.2094, reg=0.2681, thom=2.0004, thomf=1.9873, acc=0.0000
====iter_1700: fit=4.8559, reg=0.2732, thom=2.0056, thomf=1.9929, acc=0.0156
====iter_1800: fit=4.7048, reg=0.2919, thom=2.0170, thomf=1.9901, acc=0.0078
====iter_1900: fit=4.7042, reg=0.2754, thom=2.0172, thomf=1.9894, acc=0.0234
====iter_2000: fit=4.6307, reg=0.2552, thom=2.0157, thomf=1.9885, acc=0.0000
====iter_2100: fit=4.6087, reg=0.2309, thom=2.0125, thomf=1.9882, acc=0.0000
====iter_2200: fit=4.5924, reg=0.2090, thom=2.0101, thomf=1.9882, acc=0.0312
====iter_2300: fit=4.5042, reg=0.1898, thom=2.0082, thomf=1.9891, acc=0.0312
====iter_2400: fit=4.3104, reg=0.1782, thom=2.0075, thomf=2.0003, acc=0.0312
====iter_2500: fit=4.1423, reg=0.1728, thom=2.0078, thomf=2.0079, acc=0.0312
====iter_2600: fit=3.8643, reg=0.1697, thom=2.0077, thomf=2.0073, acc=0.0781
====iter_2700: fit=3.7175, reg=0.1718, thom=2.0084, thomf=2.0088, acc=0.1094
====iter_2800: fit=3.7246, reg=0.1755, thom=2.0090, thomf=2.0094, acc=0.1172
====iter_2900: fit=3.4195, reg=0.1833, thom=2.0097, thomf=2.0095, acc=0.1406
====iter_3000: fit=3.4200, reg=0.1941, thom=2.0108, thomf=2.0092, acc=0.1953
====iter_3100: fit=3.1884, reg=0.2064, thom=2.0110, thomf=2.0092, acc=0.2344
====iter_3200: fit=3.3240, reg=0.2215, thom=2.0113, thomf=2.0091, acc=0.2109
====iter_3300: fit=2.9895, reg=0.2374, thom=2.0115, thomf=2.0084, acc=0.2812
====iter_3400: fit=3.0404, reg=0.2546, thom=2.0118, thomf=2.0077, acc=0.2422
====iter_3500: fit=2.6559, reg=0.2720, thom=2.0117, thomf=2.0075, acc=0.3359
====iter_3600: fit=2.9263, reg=0.2929, thom=2.0117, thomf=2.0067, acc=0.2656
====iter_3700: fit=2.8074, reg=0.3121, thom=2.0116, thomf=2.0068, acc=0.2656
====iter_3800: fit=2.5886, reg=0.3318, thom=2.0115, thomf=2.0067, acc=0.3203
====iter_3900: fit=2.4441, reg=0.3504, thom=2.0115, thomf=2.0066, acc=0.3281
====iter_4000: fit=2.4257, reg=0.3693, thom=2.0113, thomf=2.0057, acc=0.3516
