====iter_100: fit=9.0669, reg=1.3399, thom=6.9484, thomf=6.8736, acc=0.0156
====iter_200: fit=8.9957, reg=1.2119, thom=6.9447, thomf=6.8721, acc=0.0234
====iter_300: fit=8.9245, reg=1.0960, thom=6.9412, thomf=6.8709, acc=0.0312
====iter_400: fit=9.0669, reg=0.9913, thom=6.9379, thomf=6.8699, acc=0.0156
====iter_500: fit=9.0669, reg=0.8965, thom=6.9347, thomf=6.8691, acc=0.0156
====iter_600: fit=9.1382, reg=0.8109, thom=6.9318, thomf=6.8683, acc=0.0078
====iter_700: fit=9.0669, reg=0.7334, thom=6.9291, thomf=6.8677, acc=0.0156
====iter_800: fit=9.1382, reg=0.6633, thom=6.9265, thomf=6.8672, acc=0.0078
====iter_900: fit=9.1382, reg=0.6059, thom=6.9244, thomf=6.8723, acc=0.0078
====iter_1000: fit=8.9957, reg=0.5576, thom=6.9224, thomf=6.8720, acc=0.0234
====iter_1100: fit=8.9957, reg=0.5043, thom=6.9204, thomf=6.8698, acc=0.0234
====iter_1200: fit=8.9245, reg=0.4561, thom=6.9186, thomf=6.8685, acc=0.0312
====iter_1300: fit=8.9245, reg=0.4125, thom=6.9169, thomf=6.8677, acc=0.0312
====iter_1400: fit=9.1382, reg=0.3731, thom=6.9155, thomf=6.8671, acc=0.0078
====iter_1500: fit=8.9957, reg=0.3375, thom=6.9141, thomf=6.8667, acc=0.0234
====iter_1600: fit=9.1382, reg=0.3052, thom=6.9130, thomf=6.8664, acc=0.0078
====iter_1700: fit=9.1382, reg=0.2761, thom=6.9119, thomf=6.8662, acc=0.0078
====iter_1800: fit=9.1382, reg=0.2497, thom=6.9110, thomf=6.8660, acc=0.0078
====iter_1900: fit=9.1382, reg=0.2259, thom=6.9102, thomf=6.8659, acc=0.0078
====iter_2000: fit=4.8905, reg=0.2691, thom=6.9682, thomf=6.8662, acc=0.0156
====iter_2100: fit=4.5961, reg=0.2840, thom=6.9657, thomf=6.8715, acc=0.0234
====iter_2200: fit=4.5952, reg=0.2638, thom=6.9495, thomf=6.8688, acc=0.0000
====iter_2300: fit=4.5952, reg=0.2386, thom=6.9367, thomf=6.8677, acc=0.0234
====iter_2400: fit=4.5956, reg=0.2159, thom=6.9288, thomf=6.8671, acc=0.0078
