====iter_6500: fit=2.1617, reg=0.6687, thom=-0.6912, thomf=-0.6927, acc=0.4766
====iter_6600: fit=2.0720, reg=0.6735, thom=-0.6914, thomf=-0.6928, acc=0.4453
====iter_6700: fit=1.8406, reg=0.6832, thom=-0.6914, thomf=-0.6927, acc=0.5000
====iter_6800: fit=1.8144, reg=0.6933, thom=-0.6914, thomf=-0.6931, acc=0.4922
====iter_6900: fit=1.9851, reg=0.7025, thom=-0.6915, thomf=-0.6931, acc=0.4531
====iter_7000: fit=2.0407, reg=0.7099, thom=-0.6916, thomf=-0.6929, acc=0.4922
====iter_7100: fit=1.7656, reg=0.7151, thom=-0.6917, thomf=-0.6930, acc=0.5078
====iter_7200: fit=1.8570, reg=0.7231, thom=-0.6917, thomf=-0.6930, acc=0.5078
====iter_7300: fit=1.9394, reg=0.7297, thom=-0.6917, thomf=-0.6930, acc=0.5000
====iter_7400: fit=1.7409, reg=0.7328, thom=-0.6918, thomf=-0.6930, acc=0.5469
====iter_7500: fit=1.8042, reg=0.7405, thom=-0.6918, thomf=-0.6934, acc=0.5469
====iter_7600: fit=1.8646, reg=0.7490, thom=-0.6920, thomf=-0.6934, acc=0.4922
====iter_7700: fit=1.7277, reg=0.7554, thom=-0.6920, thomf=-0.6932, acc=0.5078
====iter_7800: fit=1.7184, reg=0.7587, thom=-0.6920, thomf=-0.6933, acc=0.5000
====iter_7900: fit=1.7879, reg=0.7650, thom=-0.6921, thomf=-0.6936, acc=0.4922
====iter_8000: fit=1.9807, reg=0.7716, thom=-0.6921, thomf=-0.6938, acc=0.5000
====iter_8100: fit=1.6500, reg=0.7753, thom=-0.6921, thomf=-0.6933, acc=0.5625
====iter_8200: fit=1.4641, reg=0.7788, thom=-0.6921, thomf=-0.6933, acc=0.6250
====iter_8300: fit=1.8180, reg=0.7863, thom=-0.6922, thomf=-0.6935, acc=0.5234
====iter_8400: fit=1.7792, reg=0.7915, thom=-0.6921, thomf=-0.6936, acc=0.5234
====iter_8500: fit=1.8821, reg=0.7968, thom=-0.6921, thomf=-0.6936, acc=0.5078
====iter_8600: fit=1.7039, reg=0.7995, thom=-0.6922, thomf=-0.6934, acc=0.5859
====iter_8700: fit=1.6454, reg=0.8042, thom=-0.6923, thomf=-0.6936, acc=0.5703
====iter_8800: fit=1.3628, reg=0.8064, thom=-0.6923, thomf=-0.6935, acc=0.6719
====iter_8900: fit=1.7435, reg=0.8113, thom=-0.6924, thomf=-0.6937, acc=0.5703
====iter_9000: fit=1.6661, reg=0.8153, thom=-0.6924, thomf=-0.6936, acc=0.5312
====iter_9100: fit=1.9474, reg=0.8192, thom=-0.6925, thomf=-0.6935, acc=0.5000
====iter_9200: fit=1.7284, reg=0.8228, thom=-0.6923, thomf=-0.6936, acc=0.5312
====iter_9300: fit=1.9391, reg=0.8244, thom=-0.6924, thomf=-0.6937, acc=0.5469
====iter_9400: fit=1.4358, reg=0.8288, thom=-0.6925, thomf=-0.6939, acc=0.6172
====iter_9500: fit=1.7498, reg=0.8351, thom=-0.6925, thomf=-0.6940, acc=0.5391
====iter_9600: fit=1.5877, reg=0.8382, thom=-0.6926, thomf=-0.6941, acc=0.5703
====iter_9700: fit=1.6214, reg=0.8392, thom=-0.6925, thomf=-0.6939, acc=0.5312
====iter_9800: fit=1.5706, reg=0.8435, thom=-0.6924, thomf=-0.6939, acc=0.6016
